"link","provider","rating"
"https://www.classcentral.com/course/swayam-society-and-media-14291","Guru Govind Singh Indraprastha University (GGSIPU), New Delhi","Society and Media from Guru Govind Singh Indraprastha University (GGSIPU), New Delhi ★★★★★(14)"
"https://www.classcentral.com/course/swayam-german-i-14096","Indian Institute of Technology Madras","German-I from Indian Institute of Technology Madras ★★★★☆(1)"
"https://www.classcentral.com/course/swayam-information-sources-and-library-services-14125","IGNOU","Information Sources and Library Services from IGNOU ★★★★★(1)"
"https://www.classcentral.com/course/swayam------------hindi-bhasha-ka-udbhav-aur-vikas-20023","Jawaharlal Nehru University, New Delhi","हिंदी भाषा का उद्भव और विकास Hindi Bhasha ka Udbhav aur Vikas from Jawaharlal Nehru University, New Delhi ★★★★☆(1)"
"https://www.classcentral.com/course/swayam-short-fiction-in-indian-literature-14287","Indian Institute of Technology Madras","Short Fiction in Indian Literature from Indian Institute of Technology Madras"
"https://www.classcentral.com/course/swayam-the-popular-gothic-novel-20012","Indian Institute of Technology Madras","The Popular Gothic Novel from Indian Institute of Technology Madras"
"https://www.classcentral.com/course/swayam-technical-english-for-engineers-14322","Indian Institute of Technology Madras","Technical english for engineers from Indian Institute of Technology Madras"
"https://www.classcentral.com/course/swayam-poetry-19971","Indian Institute of Technology Madras","Poetry from Indian Institute of Technology Madras"
"https://www.classcentral.com/course/swayam-german-ii-14097","Indian Institute of Technology Madras","German-II from Indian Institute of Technology Madras"
"https://www.classcentral.com/course/swayam-appreciating-linguistics-a-typological-approach-13901","Indian Institute of Technology Madras","Appreciating Linguistics: A typological approach from Indian Institute of Technology Madras"
"https://www.classcentral.com/course/swayam-applied-linguistics-13897","Indian Institute of Technology Madras","Applied Linguistics from Indian Institute of Technology Madras"
"https://www.classcentral.com/course/swayam-history-of-english-language-and-literature-14108","Indian Institute of Technology Madras","History of English Language and Literature from Indian Institute of Technology Madras"
"https://www.classcentral.com/course/swayam-postmodernism-in-literature-9916","Indian Institute of Technology Madras","Postmodernism in Literature from Indian Institute of Technology Madras"
"https://www.classcentral.com/course/swayam-intermediate-level-of-spoken-sanskrit-14133","Indian Institute of Technology, Kharagpur","Intermediate Level of Spoken Sanskrit from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-introduction-to-ancient-indian-technology-7939","Indian Institute of Technology Kanpur","Introduction to Ancient Indian Technology from Indian Institute of Technology Kanpur"
"https://www.classcentral.com/course/swayam-introduction-to-japanese-language-and-culture-14152","Indian Institute of Technology Kanpur","Introduction to Japanese Language and Culture from Indian Institute of Technology Kanpur"
"https://www.classcentral.com/course/swayam-introduction-to-literary-theory-19901","Indian Institute of Technology Kanpur","Introduction To Literary Theory from Indian Institute of Technology Kanpur"
"https://www.classcentral.com/course/swayam-science-technology-and-society-19991","Indian Institute of Technology Guwahati","Science, Technology and Society from Indian Institute of Technology Guwahati"
"https://www.classcentral.com/course/swayam-research-ethics-14273","Central University of Himachal Pradesh","Research Ethics from Central University of Himachal Pradesh"
"https://www.classcentral.com/course/swayam-proficiency-course-in-spanish-14257","CEC","Proficiency Course in Spanish from CEC"
"https://www.classcentral.com/course/swayam-proficiency-course-in-russian-14256","CEC","Proficiency Course in Russian from CEC"
"https://www.classcentral.com/course/swayam-proficiency-course-in-french-14258","CEC","Proficiency course in French from CEC"
"https://www.classcentral.com/course/swayam-mats-1-anuvaad-prakriya-evam-kshetr-20249","IGNOU","MATS-1: Anuvaad Prakriya Evam Kshetr from IGNOU"
"https://www.classcentral.com/course/swayam-blii-104-ict-in-libraries-20217","IGNOU","BLII- 104: ICT in Libraries from IGNOU"
"https://www.classcentral.com/course/swayam-bli-011-libraries-an-introduction-20216","IGNOU","BLI- 011: Libraries: An introduction from IGNOU"
"https://www.classcentral.com/course/swayam-mgp-002-philosophy-of-gandhi-20251","IGNOU","MGP- 002 Philosophy of Gandhi from IGNOU"
"https://www.classcentral.com/course/swayam-mats-2-anuvaad-siddhant-evam-parampara-20250","IGNOU","MATS-2: Anuvaad Siddhant Evam Parampara from IGNOU"
"https://www.classcentral.com/course/swayam-mgp-001-gandhi-the-man-and-his-times-20253","IGNOU","MGP-001 Gandhi: The Man and His Times from IGNOU"
"https://www.classcentral.com/course/swayam-mhd-03-upanayas-evam-kahaniya-20256","IGNOU","MHD-03:UPANAYAS EVAM KAHANIYA from IGNOU"
"https://www.classcentral.com/course/swayam-mgp-004-gandhi-s-political-thought-20252","IGNOU","MGP- 004 Gandhi’s Political Thought from IGNOU"
"https://www.classcentral.com/course/swayam-mgp-003-gandhi-s-social-thought-20254","IGNOU","MGP-003 Gandhi’s Social Thought from IGNOU"
"https://www.classcentral.com/course/swayam-mhd-02-adhunik-hindi-kavita-20255","IGNOU","MHD-02:ADHUNIK HINDI KAVITA from IGNOU"
"https://www.classcentral.com/course/swayam-orul-002-communication-skills-ii-19959","IGNOU","ORUL-002 :Communication Skills-II from IGNOU"
"https://www.classcentral.com/course/swayam-bal-002-communication-skills-19802","IGNOU","BAL-002: Communication Skills from IGNOU"
"https://www.classcentral.com/course/swayam-bal-001-basics-of-arabic-19801","IGNOU","BAL-001: Basics Of Arabic from IGNOU"
"https://www.classcentral.com/course/swayam-document-processing-and-organisation-14014","IGNOU","Document Processing and Organisation from IGNOU"
"https://www.classcentral.com/course/swayam-oru-001-communication-skills-i-19958","IGNOU","ORU-001: Communication Skills-I from IGNOU"
"https://www.classcentral.com/course/swayam-library-automation-and-digitisation-14174","IGNOU","Library Automation and Digitisation from IGNOU"
"https://www.classcentral.com/course/swayam-indian-vastushastra-20244","CEC","Indian Vastushastra from CEC"
"https://www.classcentral.com/course/swayam-history-of-modern-east-asia-1-c-1840-1949-20242","CEC","History of Modern East Asia -1 (c.1840-1949) from CEC"
"https://www.classcentral.com/course/swayam-economic-history-of-india-from-1857-to-1947-20235","CEC","Economic History of India from 1857 to 1947 from CEC"
"https://www.classcentral.com/course/swayam-digital-library-17575","CEC","Digital Library from CEC"
"https://www.classcentral.com/course/swayam-delhi-sultanate-1206-1550-19840","CEC","Delhi Sultanate (1206-1550) from CEC"
